Date, Close/Last, Volume, Open, High, Low
10/23/2020, $216.23, 18879610, $215.03, $216.28, $213.16
10/22/2020, $214.89, 22351450, $213.93, $216.055, $211.7
10/21/2020, $214.8, 22724910, $213.12, $216.92, $213.12
10/20/2020, $214.65, 22753510, $215.8, $217.37, $213.0901
10/19/2020, $214.22, 27625840, $220.415, $222.3, $213.72
10/16/2020, $219.66, 26057880, $220.15, $222.29, $219.32
10/15/2020, $219.66, 22733060, $217.1, $220.36, $216.01
10/14/2020, $220.86, 23451710, $223, $224.22, $219.13
10/13/2020, $222.86, 28950840, $222.72, $225.21, $220.43
10/12/2020, $221.4, 40461370, $218.79, $223.86, $216.81
10/09/2020, $215.81, 26458050, $211.23, $215.86, $211.23
10/08/2020, $210.58, 19925840, $210.51, $211.19, $208.32
10/07/2020, $209.83, 25681050, $207.06, $210.11, $206.72
10/06/2020, $205.91, 28554260, $208.82, $210.18, $204.82
10/05/2020, $210.38, 21331560, $207.22, $210.41, $206.98
10/02/2020, $206.19, 33154780, $208, $210.99, $205.54
10/01/2020, $212.46, 27158420, $213.49, $213.99, $211.32
09/30/2020, $210.33, 33829090, $207.73, $211.98, $206.54
09/29/2020, $207.26, 24464470, $209.35, $210.07, $206.81
09/28/2020, $209.44, 32004940, $210.88, $212.57, $208.06
09/25/2020, $207.82, 29437310, $203.55, $209.04, $202.54
09/24/2020, $203.19, 31202490, $199.85, $205.57, $199.2
09/23/2020, $200.59, 30803780, $207.9, $208.1, $200.03
09/22/2020, $207.42, 33517070, $205.06, $208.1, $202.075
09/21/2020, $202.54, 39839660, $197.19, $202.71, $196.38
09/18/2020, $200.39, 55225330, $202.8, $203.65, $196.25
09/17/2020, $202.91, 34011260, $200.05, $204.33, $199.96
09/16/2020, $205.05, 26372460, $210.62, $210.65, $204.64
09/15/2020, $208.78, 21823940, $208.42, $209.78, $206.93
09/14/2020, $205.41, 30375770, $204.24, $209.2, $204.03
09/11/2020, $204.03, 33620070, $207.2, $208.63, $201.24
